voltage,current,temperature,pollution,conductor,insulator
354,4268,3,Low,ACSR,Glass
444,3966,56,Low,ACSR,Glass
555,2143,16,Low,ACSR,Glass
296,4590,55,Medium,ACSR,Glass
106,962,60,High,AAAC,Composite
93,3826,39,Medium,ACSR,Glass
200,3716,41,High,ACSR,Composite
266,4394,38,Low,ACSR,Porcelain
98,2874,43,Low,ACSR,Composite
113,4551,19,High,ACSR,Composite
568,3193,39,Medium,ACCC,Composite
472,1956,58,Low,AAAC,Glass
639,669,32,Medium,ACSR,Composite
793,1918,24,High,ACSR,Composite
164,3630,10,Low,ACSR,Porcelain
749,1110,29,High,ACSR,Composite
791,3823,57,High,ACCC,Composite
612,3615,15,High,ACCC,Composite
678,2475,33,Low,ACSR,Glass
527,1584,48,High,ACSR,Composite
708,1668,51,Low,ACSR,Glass
70,4821,-4,Medium,ACSR,Glass
283,1584,30,High,AAAC,Composite
568,1405,-9,High,ACSR,Composite
463,4762,44,Low,ACSR,Glass
458,2514,49,Low,ACSR,Glass
272,4375,-5,Medium,ACSR,Glass
80,492,59,Low,AAAC,Composite
619,3122,52,Low,ACCC,Glass
526,1436,47,High,ACSR,Composite
756,4380,19,High,ACCC,Composite
640,218,49,Low,ACSR,Glass
306,3474,51,High,ACSR,Composite
629,979,-5,High,ACSR,Composite
161,183,5,Low,AAAC,Porcelain
799,1106,-4,High,ACSR,Composite
550,537,38,Medium,ACSR,Composite
472,762,-3,Low,AAAC,Glass
296,2471,-2,High,AAAC,Composite
720,4385,42,Low,ACCC,Glass
236,1078,57,Low,AAAC,Composite
606,671,12,Low,ACSR,Glass
101,520,28,Medium,AAAC,Glass
590,2949,48,High,ACSR,Composite
225,1858,32,Medium,AAAC,Glass
764,1551,-2,Low,ACSR,Glass
308,902,12,High,AAAC,Composite
151,2808,47,High,ACSR,Composite
643,1323,31,Medium,ACSR,Composite
747,3509,31,High,ACCC,Composite
622,2700,8,Low,ACSR,Glass
639,4450,34,Medium,ACCC,Composite
711,2624,-1,Medium,ACSR,Composite
93,563,53,Medium,AAAC,Glass
685,604,23,Medium,ACSR,Composite
621,633,-10,High,ACSR,Composite
405,1253,32,Low,AAAC,Glass
396,2319,39,High,ACSR,Composite
705,4426,34,High,ACCC,Composite
571,694,40,Medium,ACSR,Composite
413,4205,-2,Medium,ACSR,Composite
538,2231,0,Medium,ACSR,Composite
296,2025,42,Medium,AAAC,Glass
255,4574,26,Medium,ACSR,Glass
290,2649,0,High,ACSR,Composite
450,1994,18,Low,AAAC,Glass
442,4811,36,Low,ACSR,Glass
348,2187,-1,Low,ACSR,Glass
698,3571,33,Low,ACCC,Glass
693,1739,-9,Medium,ACSR,Composite
324,4067,-4,Low,ACSR,Glass
424,3531,49,High,ACSR,Composite
775,809,44,Low,ACSR,Glass
521,3568,53,Low,ACCC,Glass
476,2087,-7,Low,ACSR,Glass
714,4757,29,Medium,ACCC,Composite
383,3101,59,Low,ACSR,Glass
742,1770,43,Medium,ACSR,Composite
290,2920,17,High,ACSR,Composite
299,2663,-9,Medium,ACSR,Glass
749,4714,32,Medium,ACCC,Composite
729,4782,8,Medium,ACCC,Composite
439,2334,35,Medium,ACSR,Composite
737,1685,5,Low,ACSR,Glass
673,2984,22,High,ACSR,Composite
537,3328,17,Medium,ACCC,Composite
298,3610,20,Low,ACSR,Porcelain
757,3034,50,Low,ACCC,Glass
178,2748,31,High,ACSR,Composite
562,3366,60,Low,ACCC,Glass
507,4225,17,High,ACCC,Composite
629,1089,16,High,ACSR,Composite
333,4768,15,High,ACSR,Composite
575,1423,47,Low,ACSR,Glass
451,1691,50,Medium,AAAC,Composite
452,178,-1,High,AAAC,Composite
178,2965,15,High,ACSR,Composite
678,3309,60,Medium,ACCC,Composite
690,3956,26,High,ACCC,Composite
146,1816,-7,High,AAAC,Composite
764,2092,46,High,ACSR,Composite
178,2868,11,Low,ACSR,Porcelain
67,3292,34,High,ACSR,Composite
707,3197,45,High,ACCC,Composite
285,2953,0,High,ACSR,Composite
631,3040,8,Medium,ACCC,Composite
290,959,7,High,AAAC,Composite
450,1409,1,High,AAAC,Composite
468,4942,12,High,ACSR,Composite
703,3226,49,Low,ACCC,Glass
195,4844,29,Low,ACSR,Porcelain
118,3167,49,Medium,ACSR,Glass
749,3195,33,Medium,ACCC,Composite
795,4409,43,Medium,ACCC,Composite
737,4983,43,High,ACCC,Composite
775,2199,56,Medium,ACSR,Composite
481,3223,40,Low,ACSR,Glass
312,4494,7,Low,ACSR,Glass
504,4803,-5,High,ACCC,Composite
268,4845,40,Medium,ACSR,Glass
249,4517,26,Medium,ACSR,Glass
188,4808,-3,Low,ACSR,Porcelain
466,4210,60,Medium,ACSR,Composite
359,1429,39,Low,AAAC,Glass
345,4255,50,High,ACSR,Composite
675,2436,36,Low,ACSR,Glass
263,1801,9,High,AAAC,Composite
576,4663,60,High,ACCC,Composite
209,4387,-10,Low,ACSR,Porcelain
674,2499,13,High,ACSR,Composite
266,4807,43,Low,ACSR,Composite
189,4130,42,Medium,ACSR,Glass
252,4510,42,High,ACSR,Composite
391,4412,53,Medium,ACSR,Glass
529,4204,56,Low,ACCC,Glass
414,1568,31,High,AAAC,Composite
725,2228,34,Low,ACSR,Glass
468,3788,-3,Medium,ACSR,Composite
411,528,36,High,AAAC,Composite
576,3238,10,Medium,ACCC,Composite
212,469,44,High,AAAC,Composite
213,460,48,Low,AAAC,Composite
776,3251,35,Low,ACCC,Glass
554,1653,0,High,ACSR,Composite
705,4849,26,Low,ACCC,Glass
616,4845,47,Low,ACCC,Glass
403,2537,43,Medium,ACSR,Composite
706,870,9,High,ACSR,Composite
538,3769,8,Medium,ACCC,Composite
216,4581,57,Low,ACSR,Composite
480,2991,-8,High,ACSR,Composite
363,3095,38,High,ACSR,Composite
676,240,45,Medium,ACSR,Composite
328,643,2,Medium,AAAC,Glass
209,1545,60,High,AAAC,Composite
411,3560,-4,Low,ACSR,Glass
689,1013,52,Low,ACSR,Glass
637,237,53,High,ACSR,Composite
67,1846,51,High,AAAC,Composite
369,4846,-9,High,ACSR,Composite
319,4793,41,Low,ACSR,Glass
717,2305,36,Medium,ACSR,Composite
518,3867,33,Medium,ACCC,Composite
102,2205,44,Medium,AAAC,Glass
225,1098,10,Medium,AAAC,Glass
74,991,37,High,AAAC,Composite
298,1056,38,High,AAAC,Composite
164,1081,3,Medium,AAAC,Glass
724,1342,57,Medium,ACSR,Composite
273,3078,-7,Low,ACSR,Porcelain
196,3217,13,High,ACSR,Composite
469,4998,9,High,ACSR,Composite
217,2503,43,Low,ACSR,Composite
119,3272,23,Medium,ACSR,Glass
185,1759,12,Low,AAAC,Porcelain
738,826,57,High,ACSR,Composite
693,1568,26,High,ACSR,Composite
652,4296,8,Medium,ACCC,Composite
690,4358,19,High,ACCC,Composite
485,1127,14,High,AAAC,Composite
487,1639,34,High,AAAC,Composite
169,3734,-3,High,ACSR,Composite
319,3188,7,Medium,ACSR,Glass
292,2489,2,High,AAAC,Composite
177,2844,49,Medium,ACSR,Glass
575,2794,7,High,ACSR,Composite
538,3007,15,Medium,ACCC,Composite
164,4433,4,High,ACSR,Composite
218,2126,35,Low,AAAC,Porcelain
403,3659,40,Low,ACSR,Glass
771,944,42,Low,ACSR,Glass
228,3367,32,High,ACSR,Composite
785,1251,-3,High,ACSR,Composite
746,539,15,High,ACSR,Composite
226,1404,1,Low,AAAC,Porcelain
645,3255,37,Medium,ACCC,Composite
463,2310,-5,High,ACSR,Composite
342,1452,52,Medium,AAAC,Glass
569,4590,-2,Medium,ACCC,Composite
457,3288,-2,Low,ACSR,Glass
200,3961,36,Medium,ACSR,Glass
260,1413,24,Low,AAAC,Porcelain
466,2276,50,Medium,ACSR,Composite
705,1372,27,Medium,ACSR,Composite
98,2023,19,Medium,AAAC,Glass
753,3626,10,Medium,ACCC,Composite
525,1455,9,Low,ACSR,Glass
535,3065,12,High,ACCC,Composite
440,1364,13,Low,AAAC,Glass
87,1030,-1,High,AAAC,Composite
735,512,26,Low,ACSR,Glass
103,4308,3,Medium,ACSR,Glass
295,3060,53,Medium,ACSR,Glass
430,2303,43,Medium,ACSR,Composite
628,4173,4,High,ACCC,Composite
503,4620,55,High,ACCC,Composite
348,2164,-4,Low,ACSR,Glass
92,3675,45,Medium,ACSR,Glass
291,4841,13,Medium,ACSR,Glass
342,2063,-9,Low,ACSR,Glass
674,3162,14,High,ACCC,Composite
349,972,30,Medium,AAAC,Glass
546,3970,13,Low,ACCC,Glass
518,1388,8,Low,ACSR,Glass
724,3893,16,Medium,ACCC,Composite
581,920,35,Low,ACSR,Glass
612,735,-9,High,ACSR,Composite
257,101,21,Low,AAAC,Porcelain
114,3385,10,Medium,ACSR,Glass
577,4599,-8,Medium,ACCC,Composite
82,987,32,Low,AAAC,Porcelain
237,973,4,High,AAAC,Composite
285,3943,10,High,ACSR,Composite
223,3401,-3,Low,ACSR,Porcelain
542,3284,31,Medium,ACCC,Composite
111,4119,-8,Medium,ACSR,Glass
438,2802,1,High,ACSR,Composite
583,4395,11,High,ACCC,Composite
164,2055,18,Medium,AAAC,Glass
102,446,56,High,AAAC,Composite
345,321,19,Low,AAAC,Glass
414,4617,1,High,ACSR,Composite
562,1079,27,Medium,ACSR,Composite
367,4385,25,High,ACSR,Composite
246,1848,20,Medium,AAAC,Glass
672,1333,40,High,ACSR,Composite
164,3035,23,Low,ACSR,Porcelain
765,2754,28,Low,ACSR,Glass
181,2171,3,High,AAAC,Composite
256,3945,-8,Low,ACSR,Porcelain
318,3553,54,Medium,ACSR,Glass
226,1460,42,High,AAAC,Composite
321,2130,-7,Low,ACSR,Glass
388,741,57,Low,AAAC,Glass
193,4733,17,High,ACSR,Composite
83,3684,-6,Low,ACSR,Porcelain
800,2789,56,Low,ACSR,Glass
631,878,26,Medium,ACSR,Composite
635,513,51,High,ACSR,Composite
388,3717,-1,Low,ACSR,Glass
751,2976,55,Low,ACSR,Glass
691,4542,49,Low,ACCC,Glass
353,4101,8,Low,ACSR,Glass
728,1322,9,High,ACSR,Composite
704,3914,54,Low,ACCC,Glass
220,3429,10,High,ACSR,Composite
555,4801,12,High,ACCC,Composite
451,4582,4,High,ACSR,Composite
169,2530,54,High,ACSR,Composite
458,4353,5,Low,ACSR,Glass
311,2248,9,High,ACSR,Composite
241,576,7,Low,AAAC,Porcelain
104,3846,-7,High,ACSR,Composite
542,3401,54,High,ACCC,Composite
747,328,14,Low,ACSR,Glass
603,4789,-8,Medium,ACCC,Composite
473,1611,-10,Low,AAAC,Glass
590,2713,-7,High,ACSR,Composite
571,3284,18,Medium,ACCC,Composite
101,4745,32,Medium,ACSR,Glass
750,2533,60,Low,ACSR,Glass
85,4215,35,Low,ACSR,Porcelain
386,2611,60,High,ACSR,Composite
577,2864,-2,High,ACSR,Composite
465,4401,14,High,ACSR,Composite
719,497,11,High,ACSR,Composite
536,4701,8,Low,ACCC,Glass
208,4461,31,Low,ACSR,Porcelain
157,2113,-1,Low,AAAC,Porcelain
419,1322,5,High,AAAC,Composite
792,1436,22,Medium,ACSR,Composite
116,2718,-5,Low,ACSR,Porcelain
730,1503,5,Medium,ACSR,Composite
763,1243,0,Low,ACSR,Glass
640,637,21,Medium,ACSR,Composite
255,550,17,High,AAAC,Composite
190,1518,48,Low,AAAC,Composite
215,3033,45,High,ACSR,Composite
379,2589,13,Low,ACSR,Glass
635,3301,47,Low,ACCC,Glass
407,1358,-9,Medium,AAAC,Composite
370,3623,31,Low,ACSR,Glass
757,3220,41,Low,ACCC,Glass
747,504,39,Low,ACSR,Glass
119,1622,36,Medium,AAAC,Glass
509,3046,41,Low,ACCC,Glass
678,1239,44,High,ACSR,Composite
329,4546,38,Medium,ACSR,Glass
118,770,4,Low,AAAC,Porcelain
637,1761,44,High,ACSR,Composite
685,484,6,Low,ACSR,Glass
70,1722,11,Medium,AAAC,Glass
168,4398,9,High,ACSR,Composite
261,4231,47,Medium,ACSR,Glass
415,4019,44,Low,ACSR,Glass
112,798,8,Medium,AAAC,Glass
721,4768,1,High,ACCC,Composite
334,2479,23,Medium,ACSR,Glass
435,1857,44,Low,AAAC,Glass
701,218,33,High,ACSR,Composite
171,3913,30,High,ACSR,Composite
735,1323,13,High,ACSR,Composite
724,139,25,Low,ACSR,Glass
722,2994,9,Low,ACSR,Glass
185,1713,14,Medium,AAAC,Glass
669,1581,58,Medium,ACSR,Composite
123,3902,42,High,ACSR,Composite
411,3339,26,Low,ACSR,Glass
539,4440,4,Low,ACCC,Glass
182,269,10,High,AAAC,Composite
192,1995,54,Medium,AAAC,Glass
458,3041,26,High,ACSR,Composite
706,582,19,High,ACSR,Composite
123,4615,49,Medium,ACSR,Glass
699,4846,57,Medium,ACCC,Composite
578,4230,25,High,ACCC,Composite
161,392,34,Medium,AAAC,Glass
703,239,-8,High,ACSR,Composite
183,1557,6,Low,AAAC,Porcelain
625,4092,23,High,ACCC,Composite
666,3135,1,High,ACCC,Composite
553,930,58,Medium,ACSR,Composite
302,2522,7,Medium,ACSR,Glass
337,3791,-6,Medium,ACSR,Glass
254,603,0,Medium,AAAC,Glass
769,2613,60,Medium,ACSR,Composite
512,3437,-6,Medium,ACCC,Composite
646,202,59,Medium,ACSR,Composite
312,4904,23,Low,ACSR,Glass
141,1946,0,High,AAAC,Composite
219,2031,27,Medium,AAAC,Glass
721,4496,6,Low,ACCC,Glass
500,3852,-9,Medium,ACSR,Composite
151,3523,36,Low,ACSR,Porcelain
762,4673,2,Medium,ACCC,Composite
350,4674,29,Medium,ACSR,Glass
285,3325,38,Low,ACSR,Porcelain
134,2195,60,High,AAAC,Composite
112,1948,6,Low,AAAC,Porcelain
159,1192,7,High,AAAC,Composite
518,1297,3,High,ACSR,Composite
269,2700,33,Medium,ACSR,Glass
283,206,55,Medium,AAAC,Glass
539,2927,1,Medium,ACSR,Composite
497,2418,51,Medium,ACSR,Composite
406,312,1,Medium,AAAC,Composite
616,456,50,Medium,ACSR,Composite
677,4916,9,Medium,ACCC,Composite
354,2138,28,Low,ACSR,Glass
319,1025,10,High,AAAC,Composite
799,1279,45,Medium,ACSR,Composite
422,2020,4,Low,ACSR,Glass
88,1186,6,High,AAAC,Composite
587,3590,26,High,ACCC,Composite
165,3603,-6,High,ACSR,Composite
245,2638,40,Low,ACSR,Porcelain
288,247,56,Medium,AAAC,Glass
724,1968,-2,Low,ACSR,Glass
507,2626,0,Low,ACSR,Glass
673,2313,24,Medium,ACSR,Composite
390,2170,36,High,ACSR,Composite
581,1007,5,Medium,ACSR,Composite
81,3433,55,Medium,ACSR,Glass
401,4714,-5,Medium,ACSR,Composite
323,2417,10,High,ACSR,Composite
562,4211,-9,Low,ACCC,Glass
225,3921,39,Low,ACSR,Porcelain
540,3445,15,Low,ACCC,Glass
729,320,33,High,ACSR,Composite
755,3452,22,Low,ACCC,Glass
740,2710,2,High,ACSR,Composite
445,3832,-7,Low,ACSR,Glass
610,674,30,High,ACSR,Composite
756,2686,39,Low,ACSR,Glass
492,4349,-10,Low,ACSR,Glass
678,1398,41,Low,ACSR,Glass
333,3396,28,High,ACSR,Composite
642,157,60,Medium,ACSR,Composite
482,4958,54,High,ACSR,Composite
233,2387,21,Low,AAAC,Porcelain
108,1623,20,High,AAAC,Composite
621,2546,47,Low,ACSR,Glass
350,4176,29,High,ACSR,Composite
462,4645,55,High,ACSR,Composite
77,3380,9,High,ACSR,Composite
672,2578,41,High,ACSR,Composite
367,2193,14,Low,ACSR,Glass
318,2131,21,Medium,ACSR,Glass
564,1838,42,High,ACSR,Composite
100,1194,48,High,AAAC,Composite
792,4763,33,Low,ACCC,Glass
155,2279,21,Medium,AAAC,Glass
670,957,-9,High,ACSR,Composite
667,2995,-9,Low,ACSR,Glass
483,1705,9,High,AAAC,Composite
180,1668,52,Medium,AAAC,Glass
682,3954,46,Medium,ACCC,Composite
261,2935,6,Low,ACSR,Porcelain
566,3631,52,Low,ACCC,Glass
691,3042,26,Low,ACCC,Glass
558,4283,1,High,ACCC,Composite
140,4292,60,Low,ACSR,Composite
478,4945,58,Medium,ACSR,Composite
441,623,42,Medium,AAAC,Composite
485,2418,48,Medium,ACSR,Composite
794,4895,50,Low,ACCC,Glass
342,4779,21,Medium,ACSR,Glass
741,4222,10,Medium,ACCC,Composite
459,3272,26,High,ACSR,Composite
522,792,32,High,ACSR,Composite
257,3166,0,Low,ACSR,Porcelain
754,650,41,Low,ACSR,Glass
164,2422,23,Low,AAAC,Porcelain
613,4824,45,High,ACCC,Composite
161,113,9,High,AAAC,Composite
729,3498,-7,Medium,ACCC,Composite
728,2053,45,High,ACSR,Composite
255,2875,43,Low,ACSR,Composite
102,1760,8,High,AAAC,Composite
434,4988,15,Medium,ACSR,Composite
760,1548,51,Low,ACSR,Glass
590,3989,-6,High,ACCC,Composite
344,4306,30,Low,ACSR,Glass
282,3762,27,Low,ACSR,Porcelain
338,422,60,Medium,AAAC,Glass
127,967,13,High,AAAC,Composite
661,970,22,High,ACSR,Composite
794,316,40,Medium,ACSR,Composite
407,612,34,Low,AAAC,Glass
462,2063,50,Medium,ACSR,Composite
764,1747,11,High,ACSR,Composite
84,710,18,High,AAAC,Composite
242,1778,43,High,AAAC,Composite
677,4937,19,Low,ACCC,Glass
461,999,25,Medium,AAAC,Composite
510,3087,40,Low,ACCC,Glass
298,2733,45,Low,ACSR,Composite
141,3116,35,Medium,ACSR,Glass
330,1311,1,High,AAAC,Composite
520,3729,9,Medium,ACCC,Composite
783,894,15,Low,ACSR,Glass
800,1998,39,Medium,ACSR,Composite
449,2175,14,Low,ACSR,Glass
629,206,11,High,ACSR,Composite
571,4803,25,Medium,ACCC,Composite
432,4122,-3,High,ACSR,Composite
209,3740,13,Medium,ACSR,Glass
134,735,17,Low,AAAC,Porcelain
164,862,20,High,AAAC,Composite
461,4734,26,Medium,ACSR,Composite
90,813,31,Medium,AAAC,Glass
534,222,17,High,ACSR,Composite
549,4767,26,Low,ACCC,Glass
630,1454,54,High,ACSR,Composite
216,171,25,High,AAAC,Composite
209,2040,1,Low,AAAC,Porcelain
634,4651,16,Low,ACCC,Glass
104,392,0,High,AAAC,Composite
174,4091,42,High,ACSR,Composite
758,721,7,Low,ACSR,Glass
107,2416,43,High,AAAC,Composite
251,2009,48,Low,AAAC,Composite
463,4510,55,High,ACSR,Composite
288,3048,38,Medium,ACSR,Glass
699,1659,52,Medium,ACSR,Composite
198,942,34,Medium,AAAC,Glass
228,1595,26,High,AAAC,Composite
280,1086,2,Medium,AAAC,Glass
798,3341,35,Low,ACCC,Glass
300,746,57,Medium,AAAC,Glass
723,2519,59,High,ACSR,Composite
653,2299,20,Low,ACSR,Glass
74,1608,-3,Medium,AAAC,Glass
139,2786,9,Low,ACSR,Porcelain
557,464,39,High,ACSR,Composite
318,2707,13,High,ACSR,Composite
295,2041,19,High,AAAC,Composite
584,3083,-1,Medium,ACCC,Composite
239,1427,60,Low,AAAC,Composite
718,3456,27,High,ACCC,Composite
233,2164,34,High,AAAC,Composite
235,1869,28,Medium,AAAC,Glass
458,4714,-2,High,ACSR,Composite
699,1414,43,High,ACSR,Composite
259,1328,48,High,AAAC,Composite
582,4329,4,High,ACCC,Composite
94,3039,46,Medium,ACSR,Glass
230,3533,18,Medium,ACSR,Glass
487,1606,0,Medium,AAAC,Composite
404,2689,59,Medium,ACSR,Composite
713,4972,15,Medium,ACCC,Composite
561,4033,-3,Medium,ACCC,Composite
430,3297,2,High,ACSR,Composite
407,1835,49,Medium,AAAC,Composite
565,3498,35,Low,ACCC,Glass
722,2893,12,Medium,ACSR,Composite
576,4926,52,Medium,ACCC,Composite
392,1276,-9,Low,AAAC,Glass
282,4549,41,High,ACSR,Composite
366,1495,-9,High,AAAC,Composite
197,2784,35,Medium,ACSR,Glass
135,1074,-3,Medium,AAAC,Glass
317,2813,33,Medium,ACSR,Glass
480,4699,39,Medium,ACSR,Composite
510,4122,46,Medium,ACCC,Composite
247,3390,-9,High,ACSR,Composite
232,1780,1,Low,AAAC,Porcelain
156,794,26,High,AAAC,Composite
779,2335,14,Low,ACSR,Glass
596,4369,34,High,ACCC,Composite
104,531,56,High,AAAC,Composite
191,3233,-10,Medium,ACSR,Glass
516,1267,24,High,ACSR,Composite
238,2527,40,Low,ACSR,Porcelain
718,334,40,High,ACSR,Composite
285,3620,20,High,ACSR,Composite
703,915,30,Medium,ACSR,Composite
123,2098,47,Low,AAAC,Composite
725,260,3,High,ACSR,Composite
541,2346,-2,High,ACSR,Composite
521,3499,11,Low,ACCC,Glass
426,1037,0,Low,AAAC,Glass
66,4714,46,Medium,ACSR,Glass
452,3083,22,Medium,ACSR,Composite
413,3664,13,Medium,ACSR,Composite
255,2289,23,High,AAAC,Composite
570,2982,46,High,ACSR,Composite
256,3599,45,Low,ACSR,Composite
573,925,41,High,ACSR,Composite
434,3333,59,High,ACSR,Composite
474,3683,57,Medium,ACSR,Composite
182,4801,47,Medium,ACSR,Glass
199,1564,60,High,AAAC,Composite
123,4864,-7,Low,ACSR,Porcelain
621,3919,18,High,ACCC,Composite
750,444,25,Low,ACSR,Glass
737,2215,36,High,ACSR,Composite
238,2398,12,Low,AAAC,Porcelain
214,1124,-10,High,AAAC,Composite
145,3800,27,Low,ACSR,Porcelain
278,3607,-2,Medium,ACSR,Glass
268,421,3,High,AAAC,Composite
294,4187,-6,High,ACSR,Composite
741,3148,9,Low,ACCC,Glass
292,3991,33,High,ACSR,Composite
724,4730,21,Medium,ACCC,Composite
597,4344,5,Low,ACCC,Glass
506,1821,16,High,ACSR,Composite
467,3436,10,Low,ACSR,Glass
112,298,22,Low,AAAC,Porcelain
298,3253,14,Low,ACSR,Porcelain
370,4274,31,High,ACSR,Composite
591,2077,-8,Low,ACSR,Glass
208,275,-4,High,AAAC,Composite
480,2483,-5,Medium,ACSR,Composite
578,4128,-1,High,ACCC,Composite
438,823,52,High,AAAC,Composite
631,2640,6,Low,ACSR,Glass
324,2262,12,Medium,ACSR,Glass
721,2596,17,Medium,ACSR,Composite
536,1421,-7,Medium,ACSR,Composite
77,3487,21,Low,ACSR,Porcelain
395,2480,45,Medium,ACSR,Glass
423,4190,-10,High,ACSR,Composite
473,3022,-6,High,ACSR,Composite
733,4832,35,Medium,ACCC,Composite
438,4174,-10,Low,ACSR,Glass
73,1045,59,High,AAAC,Composite
187,3793,57,Low,ACSR,Composite
413,2862,0,Medium,ACSR,Composite
741,1904,49,High,ACSR,Composite
155,2126,27,Low,AAAC,Porcelain
713,2434,17,Low,ACSR,Glass
763,586,59,Low,ACSR,Glass
381,2445,7,Low,ACSR,Glass
243,1705,30,Low,AAAC,Porcelain
605,3145,40,High,ACCC,Composite
797,3029,37,Low,ACCC,Glass
106,2813,15,High,ACSR,Composite
769,2162,-6,High,ACSR,Composite
567,3579,54,Low,ACCC,Glass
210,1461,40,Medium,AAAC,Glass
266,3627,59,Medium,ACSR,Glass
789,4300,59,Medium,ACCC,Composite
526,2054,60,High,ACSR,Composite
797,2943,50,Low,ACSR,Glass
623,2816,59,Low,ACSR,Glass
612,4434,-1,Medium,ACCC,Composite
318,4817,53,High,ACSR,Composite
455,4385,32,High,ACSR,Composite
659,2405,9,High,ACSR,Composite
321,1205,56,High,AAAC,Composite
774,292,2,High,ACSR,Composite
515,3536,35,Medium,ACCC,Composite
75,497,31,High,AAAC,Composite
307,895,10,Medium,AAAC,Glass
316,3036,40,High,ACSR,Composite
70,3615,58,Low,ACSR,Composite
184,2615,31,Low,ACSR,Porcelain
439,4485,34,Medium,ACSR,Composite
